attempt_id,student_id,exam_type,test_number,test_date,question_id,topic,subtopic,difficulty,is_correct,time_taken,total_marks,marks_obtained
ATT_00001,STU_0001,JEE,1,2026-02-01,Q_0001,Physics,Mechanics,easy,True,85,4,4
ATT_00002,STU_0001,JEE,1,2026-02-01,Q_0002,Physics,Mechanics,medium,False,140,4,-1
ATT_00003,STU_0001,JEE,1,2026-02-01,Q_0003,Physics,Mechanics,easy,True,77,4,4
ATT_00004,STU_0001,JEE,1,2026-02-01,Q_0004,Physics,Thermodynamics,medium,False,152,4,-1
ATT_00005,STU_0001,JEE,1,2026-02-01,Q_0005,Physics,Thermodynamics,easy,True,61,4,4
ATT_00006,STU_0001,JEE,1,2026-02-01,Q_0006,Physics,Thermodynamics,easy,True,69,4,4
ATT_00007,STU_0001,JEE,1,2026-02-01,Q_0007,Physics,Electromagnetism,medium,False,144,4,-1
ATT_00008,STU_0001,JEE,1,2026-02-01,Q_0008,Physics,Electromagnetism,medium,False,212,4,-1
ATT_00009,STU_0001,JEE,1,2026-02-01,Q_0009,Physics,Optics,easy,True,66,4,4
ATT_00010,STU_0001,JEE,1,2026-02-01,Q_0010,Physics,Optics,medium,True,112,4,4
ATT_00011,STU_0001,JEE,1,2026-02-01,Q_0011,Physics,Modern Physics,medium,False,98,4,-1
ATT_00012,STU_0001,JEE,1,2026-02-01,Q_0012,Physics,Modern Physics,easy,True,46,4,4
ATT_00013,STU_0001,JEE,1,2026-02-01,Q_0013,Physics,Modern Physics,easy,True,41,4,4
ATT_00014,STU_0001,JEE,1,2026-02-01,Q_0014,Chemistry,Physical Chemistry,medium,True,131,4,4
ATT_00015,STU_0001,JEE,1,2026-02-01,Q_0015,Chemistry,Physical Chemistry,medium,True,83,4,4
ATT_00016,STU_0001,JEE,1,2026-02-01,Q_0016,Chemistry,Organic Chemistry,easy,True,50,4,4
ATT_00017,STU_0001,JEE,1,2026-02-01,Q_0017,Chemistry,Organic Chemistry,easy,True,57,4,4
ATT_00018,STU_0001,JEE,1,2026-02-01,Q_0018,Chemistry,Organic Chemistry,easy,True,45,4,4
ATT_00019,STU_0001,JEE,1,2026-02-01,Q_0019,Chemistry,Inorganic Chemistry,easy,True,39,4,4
ATT_00020,STU_0001,JEE,1,2026-02-01,Q_0020,Chemistry,Inorganic Chemistry,medium,True,95,4,4
ATT_00021,STU_0001,JEE,1,2026-02-01,Q_0021,Mathematics,Algebra,medium,True,127,4,4
ATT_00022,STU_0001,JEE,1,2026-02-01,Q_0022,Mathematics,Algebra,medium,True,138,4,4
ATT_00023,STU_0001,JEE,1,2026-02-01,Q_0023,Mathematics,Algebra,medium,True,141,4,4
ATT_00024,STU_0001,JEE,1,2026-02-01,Q_0024,Mathematics,Calculus,easy,True,40,4,4
ATT_00025,STU_0001,JEE,1,2026-02-01,Q_0025,Mathematics,Calculus,medium,True,148,4,4
ATT_00026,STU_0001,JEE,1,2026-02-01,Q_0026,Mathematics,Trigonometry,easy,True,81,4,4
ATT_00027,STU_0001,JEE,1,2026-02-01,Q_0027,Mathematics,Trigonometry,medium,True,66,4,4
ATT_00028,STU_0001,JEE,1,2026-02-01,Q_0028,Mathematics,Trigonometry,easy,True,36,4,4
ATT_00029,STU_0001,JEE,1,2026-02-01,Q_0029,Mathematics,Coordinate Geometry,easy,True,78,4,4
ATT_00030,STU_0001,JEE,1,2026-02-01,Q_0030,Mathematics,Coordinate Geometry,easy,True,40,4,4
ATT_00031,STU_0001,JEE,1,2026-02-01,Q_0031,Mathematics,Coordinate Geometry,medium,True,144,4,4
ATT_00032,STU_0001,JEE,1,2026-02-01,Q_0032,Mathematics,Probability,easy,True,68,4,4
ATT_00033,STU_0001,JEE,1,2026-02-01,Q_0033,Mathematics,Probability,medium,True,74,4,4
ATT_00034,STU_0001,JEE,1,2026-02-01,Q_0034,Mathematics,Probability,easy,True,49,4,4
ATT_00035,STU_0001,JEE,2,2026-02-08,Q_0001,Physics,Mechanics,medium,True,83,4,4
ATT_00036,STU_0001,JEE,2,2026-02-08,Q_0002,Physics,Mechanics,medium,True,148,4,4
ATT_00037,STU_0001,JEE,2,2026-02-08,Q_0003,Physics,Thermodynamics,easy,True,47,4,4
ATT_00038,STU_0001,JEE,2,2026-02-08,Q_0004,Physics,Thermodynamics,medium,True,109,4,4
ATT_00039,STU_0001,JEE,2,2026-02-08,Q_0005,Physics,Electromagnetism,easy,True,78,4,4
ATT_00040,STU_0001,JEE,2,2026-02-08,Q_0006,Physics,Electromagnetism,medium,True,75,4,4
ATT_00041,STU_0001,JEE,2,2026-02-08,Q_0007,Physics,Optics,medium,True,78,4,4
ATT_00042,STU_0001,JEE,2,2026-02-08,Q_0008,Physics,Optics,medium,True,136,4,4
ATT_00043,STU_0001,JEE,2,2026-02-08,Q_0009,Physics,Optics,easy,True,76,4,4
ATT_00044,STU_0001,JEE,2,2026-02-08,Q_0010,Physics,Modern Physics,easy,True,74,4,4
ATT_00045,STU_0001,JEE,2,2026-02-08,Q_0011,Physics,Modern Physics,easy,True,69,4,4
ATT_00046,STU_0001,JEE,2,2026-02-08,Q_0012,Physics,Modern Physics,easy,True,58,4,4
ATT_00047,STU_0001,JEE,2,2026-02-08,Q_0013,Chemistry,Physical Chemistry,easy,True,60,4,4
ATT_00048,STU_0001,JEE,2,2026-02-08,Q_0014,Chemistry,Physical Chemistry,medium,True,138,4,4
ATT_00049,STU_0001,JEE,2,2026-02-08,Q_0015,Chemistry,Physical Chemistry,easy,True,71,4,4
ATT_00050,STU_0001,JEE,2,2026-02-08,Q_0016,Chemistry,Organic Chemistry,easy,True,74,4,4
ATT_00051,STU_0001,JEE,2,2026-02-08,Q_0017,Chemistry,Organic Chemistry,easy,True,84,4,4
ATT_00052,STU_0001,JEE,2,2026-02-08,Q_0018,Chemistry,Organic Chemistry,easy,True,46,4,4
ATT_00053,STU_0001,JEE,2,2026-02-08,Q_0019,Chemistry,Inorganic Chemistry,medium,True,144,4,4
ATT_00054,STU_0001,JEE,2,2026-02-08,Q_0020,Chemistry,Inorganic Chemistry,easy,True,48,4,4
ATT_00055,STU_0001,JEE,2,2026-02-08,Q_0021,Mathematics,Algebra,easy,True,76,4,4
ATT_00056,STU_0001,JEE,2,2026-02-08,Q_0022,Mathematics,Algebra,medium,True,80,4,4
ATT_00057,STU_0001,JEE,2,2026-02-08,Q_0023,Mathematics,Algebra,medium,True,141,4,4
ATT_00058,STU_0001,JEE,2,2026-02-08,Q_0024,Mathematics,Calculus,medium,True,124,4,4
ATT_00059,STU_0001,JEE,2,2026-02-08,Q_0025,Mathematics,Calculus,easy,True,41,4,4
ATT_00060,STU_0001,JEE,2,2026-02-08,Q_0026,Mathematics,Calculus,easy,True,40,4,4
ATT_00061,STU_0001,JEE,2,2026-02-08,Q_0027,Mathematics,Trigonometry,easy,True,46,4,4
ATT_00062,STU_0001,JEE,2,2026-02-08,Q_0028,Mathematics,Trigonometry,medium,True,87,4,4
ATT_00063,STU_0001,JEE,2,2026-02-08,Q_0029,Mathematics,Coordinate Geometry,easy,True,67,4,4
ATT_00064,STU_0001,JEE,2,2026-02-08,Q_0030,Mathematics,Coordinate Geometry,medium,True,130,4,4
ATT_00065,STU_0001,JEE,2,2026-02-08,Q_0031,Mathematics,Probability,medium,True,149,4,4
ATT_00066,STU_0001,JEE,2,2026-02-08,Q_0032,Mathematics,Probability,medium,True,98,4,4
ATT_00067,STU_0001,JEE,2,2026-02-08,Q_0033,Mathematics,Probability,medium,True,138,4,4
ATT_00068,STU_0001,JEE,3,2026-02-15,Q_0001,Physics,Mechanics,easy,True,30,4,4
ATT_00069,STU_0001,JEE,3,2026-02-15,Q_0002,Physics,Mechanics,easy,True,31,4,4
ATT_00070,STU_0001,JEE,3,2026-02-15,Q_0003,Physics,Mechanics,medium,True,147,4,4
ATT_00071,STU_0001,JEE,3,2026-02-15,Q_0004,Physics,Thermodynamics,medium,True,139,4,4
ATT_00072,STU_0001,JEE,3,2026-02-15,Q_0005,Physics,Thermodynamics,easy,True,86,4,4
ATT_00073,STU_0001,JEE,3,2026-02-15,Q_0006,Physics,Electromagnetism,easy,True,35,4,4
ATT_00074,STU_0001,JEE,3,2026-02-15,Q_0007,Physics,Electromagnetism,medium,True,121,4,4
ATT_00075,STU_0001,JEE,3,2026-02-15,Q_0008,Physics,Electromagnetism,easy,True,58,4,4
ATT_00076,STU_0001,JEE,3,2026-02-15,Q_0009,Physics,Optics,easy,True,37,4,4
